"İllere ve konularına göre halk kütüphanelerindeki kitap sayısı, 2022",,,,,,,,,,,
"The number of books in public libraries by province and subject, 2022",,,,,,,,,,,
,Toplam                                                          Total                                                    ,Genel                                                            Generalities,Felsefe ve psikoloji                                     Philosophy and psychology,Din                                                              Religion,Sosyal bilimler                                                   Social sciences,Dil ve dil bilim                           Language and linguistics,"Doğa bilimleri ve matematik                                       Natural sciences 
and mathematics",Uygulamalı bilimler ve teknoloji                                                                Applied sciences and technology,Sanat                                                      The arts,Edebiyat ve retorik                    Literature and rhetoric,"Coğrafya, tarih ve yardımcı disiplinler Geography, history and subsidiary disciplines"

İl,,,,,,,,,,,
Province,,,,,,,,,,,
Türkiye, 23 091 168,  921 142,  772 137, 1 420 944, 4 403 887,  400 450,  486 795,  785 370,  968 151, 10 706 724, 2 225 568
Çankırı,  255 902,  15 478,  6 436,  10 017,  40 403,  3 135,  3 949,  6 704,  8 541,  139 269,  21 970
Sinop,  200 990,  7 755,  6 727,  12 289,  35 364,  2 997,  3 447,  5 175,  6 399,  102 300,  18 537
Samsun,  365 299,  14 011,  13 266,  23 589,  67 619,  5 365,  6 601,  11 288,  12 264,  176 681,  34 615
Tokat,  315 416,  8 803,  9 705,  21 389,  53 992,  4 835,  5 379,  8 501,  13 562,  156 989,  32 261
Çorum,  396 196,  14 355,  11 101,  22 216,  79 814,  5 901,  7 636,  11 580,  14 422,  190 598,  38 573
Amasya,  239 118,  20 848,  6 318,  15 609,  43 399,  3 513,  4 524,  6 374,  6 986,  107 291,  24 256
Trabzon,  277 240,  6 015,  8 203,  17 516,  51 460,  4 528,  4 332,  8 101,  11 728,  133 600,  31 757
Ordu,  424 686,  22 803,  13 229,  28 064,  79 667,  6 002,  6 316,  11 704,  14 915,  202 071,  39 915
Giresun,  334 482,  10 111,  10 958,  24 366,  67 466,  4 850,  4 679,  9 754,  12 582,  158 192,  31 524
Rize,  230 200,  8 330,  7 154,  13 668,  51 029,  3 501,  3 542,  6 623,  9 944,  103 178,  23 231
Artvin,  161 067,  3 107,  5 710,  9 658,  33 986,  2 486,  2 990,  5 032,  5 990,  74 591,  17 517
Gümüşhane,  150 616,  3 591,  4 695,  9 154,  31 269,  2 294,  2 420,  3 885,  6 266,  71 456,  15 586
Erzurum,  382 404,  18 764,  11 886,  20 109,  69 460,  6 177,  6 803,  10 463,  15 387,  184 211,  39 144
Erzincan,  199 326,  7 928,  6 608,  12 090,  40 788,  3 455,  2 991,  5 755,  8 549,  91 129,  20 033
Bayburt,  111 533,  3 281,  4 045,  7 723,  23 086,  1 539,  1 493,  3 197,  4 669,  50 694,  11 806
Ağrı,  139 370,  7 780,  4 517,  8 241,  22 298,  2 957,  2 383,  3 801,  5 490,  66 999,  14 904
Kars,  162 318,  12 655,  5 051,  7 239,  29 864,  2 459,  3 184,  4 673,  6 002,  73 624,  17 567
Iğdır,  96 878,  2 088,  3 876,  6 031,  19 002,  2 090,  1 765,  3 098,  4 007,  45 583,  9 338
Ardahan,  57 237,  2 312,  2 852,  3 469,  11 465,  1 029,  1 313,  1 979,  2 882,  23 976,  5 960
Malatya,  271 894,  20 341,  8 623,  15 377,  47 906,  5 793,  4 862,  7 185,  10 204,  122 599,  29 004
